Sample,IID,FID,Sex,Wave,PE_total,filtered_gwas
HMDP257,1318,I/LnJ,M,1,22137388,yes
HMDP258,1319,I/LnJ,M,1,26090732,yes
HMDP259,575,KK/HlJ,F,1,6616960,yes
HMDP260,273,KK/HlJ,F,1,22477746,yes
HMDP261,280,KK/HlJ,M,1,24272897,yes
HMDP262,574,KK/HlJ,M,1,15596190,yes
HMDP263,1091,LP/J,F,1,33681113,yes
HMDP264,913,LP/J,F,1,24341925,yes
HMDP265,945,MA/MyJ,F,1,28671631,yes
HMDP266,883,MA/MyJ,F,1,24876960,yes
HMDP267,976,MA/MyJ,M,1,29587150,yes
HMDP268,977,MA/MyJ,M,1,16921565,yes
HMDP269,1749,NOD/ShiLtJ,F,1,15518046,yes
HMDP270,3,NOD/ShiLtJ,M,1,21917172,yes
HMDP271,4,NOD/ShiLtJ,M,1,13285224,yes
HMDP272,5,NOD/ShiLtJ,M,1,12150797,yes
HMDP273,38,NON/ShiLtJ,M,1,27543295,yes
HMDP274,39,NON/ShiLtJ,M,1,16662481,yes
HMDP275,1644,NZW/LacJ,F,1,25489877,yes
HMDP276,1645,NZW/LacJ,F,1,32960035,yes
HMDP277,1636,NZW/LacJ,M,1,28725628,yes
HMDP278,1651,NZW/LacJ,M,1,24143018,yes
HMDP279,1658,PL/J,F,1,30802594,yes
HMDP280,1707,PL/J,F,1,28895275,yes
HMDP281,1698,PL/J,M,1,29441473,yes
HMDP282,1699,PL/J,M,1,26018104,yes
HMDP283,1267,RIIIS/J,F,1,32418327,yes
HMDP284,801,RIIIS/J,F,1,22862443,yes
HMDP285,233,RIIIS/J,M,1,27350680,yes
HMDP286,802,RIIIS/J,M,1,30913930,yes
HMDP287,129,SEA/GnJ,M,1,18059426,yes
HMDP288,417,SEA/GnJ,M,1,22967160,yes
HMDP289,69,SJL/J,F,1,14633640,yes
HMDP290,427,SJL/J,F,1,23606904,yes
HMDP291,6,SJL/J,M,1,35765893,yes
HMDP292,7,SJL/J,M,1,26517272,yes
HMDP293,1260,SM/J,M,1,10233622,yes
HMDP294,1261,SM/J,M,1,28098655,yes
HMDP295,1389,SWR/J,F,1,12980977,yes
HMDP296,1390,SWR/J,F,1,33703092,yes
HMDP297,1323,SWR/J,M,1,16459047,yes
HMDP298,1324,SWR/J,M,1,26656753,yes
AA-0151,151,AXB19a/PgnJ,M,2,16408684,yes
AA-0217,217,C57L/J,M,2,20222617,yes
AA-0218,218,BXA24/PgnJ,M,2,11364305,yes
AA-0219,219,BXA24/PgnJ,M,2,14432694,yes
AA-0292,292,SWR/J,M,2,23727853,yes
AA-0296,296,CXB3/ByJ,F,2,19934136,yes
AA-0348,348,AXB15/PgnJ,F,2,13398810,yes
AA-0361,361,AXB19a/PgnJ,M,2,15505830,yes
AA-0367,367,BXA2/PgnJ,M,2,8419232,yes
AA-0381,381,BXA2/PgnJ,M,2,14912849,yes
AA-0415,415,BXD40/TyJ,M,2,13623450,yes
AA-0435,435,CXB2/ByJ,M,2,18653876,yes
AA-0512,512,CXB6/ByJ,M,2,17477726,yes
AA-0538,538,BXA7/PgnJ,M,2,24109006,yes
AA-0583,583,BXA7/PgnJ,F,2,13507586,yes
AA-0610,610,BXD27/TyJ,F,2,16134730,yes
AA-0615,615,C57L/J,M,2,12820959,yes
AA-0634,634,BXA16/PgnJ,M,2,19579551,yes
AA-0640,640,C3H/HeJ,M,2,13516385,yes
AA-0680,680,C57BLKS/J,M,2,9186099,yes
AA-0681,681,AXB13/PgnJ,M,2,10149061,yes
AA-0690,690,CXB3/ByJ,M,2,9811287,yes
AA-0724,724,BXD20/TyJ,F,2,14673116,yes
AA-0744,744,BXH22/KccJ,F,2,6479374,yes
AA-0753,753,BALB/cJ,M,2,21588125,yes
AA-0755,755,BALB/cJ,M,2,26449065,yes
AA-0780,780,NON/ShiLtJ,M,2,27185754,yes
AA-0822,822,I/LnJ,M,2,17861374,yes
AA-0826,826,SWR/J,M,2,14778376,yes
AA-0837,837,CXB3/ByJ,F,2,11772514,yes
AA-0838,838,CXB3/ByJ,F,2,4513611,no
AA-0893,893,BXD43/RwwJ,M,2,24603115,yes
AA-0909,909,C57BLKS/J,M,2,8287708,yes
AA-0915,915,AXB13/PgnJ,M,2,15120753,yes
AA-0919,919,BXD55/RwwJ,M,2,20838856,yes
AA-0920,920,BXD55/RwwJ,M,2,15800026,yes
AA-0952,952,BXD75/RwwJ,F,2,11282773,yes
AA-0954,954,BXD75/RwwJ,F,2,9620448,yes
AA-0983,983,AXB2/PgnJ,M,2,7842612,yes
AA-0989,989,BXD69/RwwJ,M,2,23269477,yes
AA-0990,990,BXD84/RwwJ,M,2,11538081,yes
AA-1051,1051,BXD70/RwwJ,F,2,18969206,yes
AA-1052,1052,BXD70/RwwJ,F,2,16033719,yes
AA-1105,1105,BXD64/RwwJ,F,2,18822824,yes
AA-1106,1106,BXD64/RwwJ,F,2,34750541,yes
AA-1297,1297,BXD87/RwwJ,F,2,27416094,yes
AA-1299,1299,BXD87/RwwJ,F,2,36362538,yes
AA-1310,1310,AKR/J,F,2,21426507,yes
AA-1325,1325,AKR/J,F,2,16931485,yes
AA-1406,1406,BXD55/RwwJ,F,2,17180150,yes
AA-1407,1407,BXD55/RwwJ,F,2,20067761,yes
AA-1499,1499,BUB/BnJ,F,2,11522301,yes
AA-1604,1604,AXB5/PgnJ,F,2,12839309,yes
AA-1612,1612,BXA2/PgnJ,F,2,22025919,yes
AA-1613,1613,BXA2/PgnJ,F,2,8411745,yes
AA-1630,1630,BXD44/RwwJ,F,2,42616267,yes
AA-1631,1631,BXD44/RwwJ,F,2,17597981,yes
AA-1679,1679,AXB5/PgnJ,F,2,1900920,no
